solver,variant,implementation,nranks,n1,n2,n3,m,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,forward_exchange_s_max,reduced_compute_s_max,backward_exchange_s_max,update_compute_s_max,compute_s_max,communication_s_max
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,1,10,device,0.102006249,0.1020019675,0.085906048,0.00054685,0.000143916,4.4908e-05,0.015483796,0.101525107,0.000590656
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,2,10,device,0.102102423,0.102096234,0.086032107,0.000610576,0.000143165,4.23430000001e-05,0.015495574,0.101658818,0.000652869
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,3,10,device,0.102030295,0.102021602,0.085919368,0.000609866,0.000143896,3.7266e-05,0.015485899,0.101532047,0.000647132
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,4,10,device,0.102110886,0.1020972205,0.086042642,0.000598949,0.000144187,3.7085e-05,0.015494402,0.101681231,0.000636034
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,5,10,device,0.10198051,0.1019719825,0.085910004,0.000561813,0.000143906,3.56530000001e-05,0.015500922,0.101538478,0.000597466
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,6,10,device,0.102262314,0.1022518325,0.086188762,0.000511648,0.000145218,3.8969e-05,0.015495725,0.101808372,0.000550035
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,7,10,device,0.10195349,0.101948993,0.085900369,0.000522864,0.000144427,3.59640000001e-05,0.015487853,0.101523394,0.000557797
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,8,10,device,0.102163826,0.102155318,0.08610698,0.000650566,0.000143215,3.6345e-05,0.015495875,0.101728693,0.00068655
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,9,10,device,0.101967691,0.1019593985,0.085912497,0.000560421,0.000143776,4.0721e-05,0.015482935,0.101523073,0.000601142
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,0,10,device,0.147538238,0.14749366125,0.046159371,0.090733282,0.000650215,0.003239772,0.00778951,0.054551345,0.093948868
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,1,10,device,0.051597622,0.05158192575,0.04294031,0.000609494,0.000291508,9.5423e-05,0.007768548,0.050999875,0.000697216
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,2,10,device,0.051615288,0.051596245,0.042979058,0.000665128,0.000291427,8.2895e-05,0.007768337,0.051035447,0.000729315
